1 40
5 10
1 40
5 10
1 40
5 10
1 40
5 10
1 40
5 10
1 40
5 10
1 40
5 10
1 40
5 10
1 40
5 10
1 40
5 10
1 40
5 10
1 40
5 10
1 40
5 10
1 40
5 10
1 40
5 10
1 40
5 10
1 40
5 10
1 40
5 10
1 40
5 10
1 40
5 10
1 40
5 10
1 40
5 10
1 40
5 10
1 40
5 10
1 40
5 10
1 40
5 10
1 40
5 10
1 40
5 10
1 40
5 10
1 40
5 10
1 40
5 10
1 40
5 10
1 40
5 10
1 40
5 10
1 40
5 10
1 40
5 10
1 40
5 10
1 40
5 10
1 40
5 10
1 40
5 10
1 40
5 10
1 40
5 10
1 40
5 10
1 40
5 10
1 40
5 10
1 40
5 10
1 40
5 10
1 40
5 10
1 40
5 10
1 40
5 10
1 40
5 10
1 40
5 10
1 40
5 10
1 40
5 10
1 40
5 10
1 40
5 10
1 40
5 10
1 40
5 10
1 40
5 10
1 40
5 10
1 40
5 10
1 40
5 10
1 40
5 10
1 40
5 10
